host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n
1784021359.309,146106000,230,1,0,0,10.0,25.0,10.0,25.0,8.736929893493652,25.35955047607422,-0.3595501184463501,32.93012619018555,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9065555930137634,,,,,,,,,,,,,,,,
1784021359.321,146116000,231,1,1,0,10.0,25.0,10.0,25.0,8.73975944519043,25.351863861083984,-0.3518640995025635,36.79365158081055,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.023065209388733,,,,,,,,,,,,,,,,
1784021359.322,146126000,232,1,2,0,10.0,25.0,10.0,25.0,9.092802047729492,25.095197677612305,-0.09519755840301514,43.91001510620117,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.2757819890975952,,,,,,,,,,,,,,,,
1784021359.322,146136000,233,1,3,0,10.0,25.0,10.0,25.0,8.961586952209473,25.425783157348633,-0.42578279972076416,37.032344818115234,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0455961227416992,,,,,,,,,,,,,,,,
1784021359.336,146146000,234,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021359.380,146196000,239,1,0,0,10.0,25.0,10.0,25.0,8.7383394241333,25.36151695251465,-0.361517071723938,32.910831451416016,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9063529968261719,,,,,,,,,,,,,,,,
1784021359.396,146206000,240,1,1,0,10.0,25.0,10.0,25.0,8.741788864135742,25.348953247070312,-0.34895241260528564,37.09002685546875,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0326558351516724,,,,,,,,,,,,,,,,
1784021359.400,146216000,241,1,2,0,10.0,25.0,10.0,25.0,9.09573745727539,25.094181060791016,-0.09418129920959473,43.98932647705078,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.2786648273468018,,,,,,,,,,,,,,,,
1784021359.417,146226000,242,1,3,0,10.0,25.0,10.0,25.0,8.96324634552002,25.424766540527344,-0.42476654052734375,37.209739685058594,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0524482727050781,,,,,,,,,,,,,,,,
1784021359.423,146236000,243,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
