host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_relief_cm,gait_rear_x_relief_cmps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg
1784046667.121,240406000,188,1,0,0,10.0,25.0,10.0,25.0,8.766229629516602,25.339609146118164,-0.33960938453674316,33.63628387451172,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9312382936477661,1.2337698936462402,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.164,240416000,189,1,1,0,10.0,25.0,10.0,25.0,8.858052253723145,25.367223739624023,-0.36722421646118164,36.464195251464844,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0230673551559448,1.141946792602539,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.164,240426000,190,1,2,0,10.0,25.0,10.0,25.0,8.707456588745117,25.218725204467773,-0.21872520446777344,40.137733459472656,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1249815225601196,1.2925423383712769,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.164,240436000,191,1,3,0,10.0,25.0,10.0,25.0,8.76628589630127,25.42261505126953,-0.42261481285095215,37.01263427734375,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0290513038635254,1.2337133884429932,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.165,240446000,192,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784046667.177,240456000,193,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784046667.201,240506000,198,1,0,0,10.0,25.0,10.0,25.0,8.767616271972656,25.340492248535156,-0.34049153327941895,33.49071502685547,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9266272187232971,1.2323826551437378,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.201,240516000,199,1,1,0,10.0,25.0,10.0,25.0,8.85880184173584,25.36700439453125,-0.3670036792755127,36.499412536621094,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0245654582977295,1.141197919845581,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.202,240526000,200,1,2,0,10.0,25.0,10.0,25.0,8.711045265197754,25.2165470123291,-0.2165466547012329,40.274993896484375,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1297303438186646,1.2889541387557983,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.202,240536000,201,1,3,0,10.0,25.0,10.0,25.0,8.767351150512695,25.422853469848633,-0.4228532314300537,37.46400833129883,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0441118478775024,1.2326486110687256,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
