host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,x_alignment,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_safety_relief_cm,gait_rear_x_safety_relief_cmps,gait_sync_mps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg,att_accel_abs_mps2
1784053968.985,198122000,126,1,0,0,10.0,25.0,10.0,25.0,8.877062797546387,25.392269134521484,-0.3922700881958008,31.84383773803711,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.8848720788955688,1.1229366064071655,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.040,198147000,127,1,1,0,10.0,25.0,10.0,25.0,8.930947303771973,25.273967742919922,-0.27396678924560547,39.37962341308594,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.119486927986145,1.069051742553711,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.040,198174000,128,1,2,0,10.0,25.0,10.0,25.0,9.245262145996094,25.047122955322266,-0.04712343215942383,45.45004653930664,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.3370473384857178,0.754737138748169,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.047,198195000,129,1,3,0,10.0,25.0,10.0,25.0,8.856663703918457,25.499645233154297,-0.4996448755264282,34.998077392578125,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9753133654594421,1.1433355808258057,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.060,198208000,130,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.022190194576978683,0.004477062728255987,0.04005655646324158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784053969.075,198223000,131,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.5015161037445068,0.23988240957260132,0.04467189311981201,0.011184126138687134,0.0,0.0,0.12137222290039062,0.003563718171790242,-1.4568442106246948,0.25106653571128845,9.688628196716309
1784053969.182,198319000,136,1,0,0,10.0,25.0,10.0,25.0,8.876151084899902,25.394004821777344,-0.39400458335876465,32.09229278564453,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.8926336169242859,1.123848557472229,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.214,198344000,137,1,1,0,10.0,25.0,10.0,25.0,8.931836128234863,25.274545669555664,-0.27454495429992676,39.18244552612305,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1138008832931519,1.0681636333465576,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.214,198371000,138,1,2,0,10.0,25.0,10.0,25.0,9.243870735168457,25.047557830810547,-0.04755854606628418,45.25941848754883,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.3305039405822754,0.7561289072036743,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.242,198392000,139,1,3,0,10.0,25.0,10.0,25.0,8.855883598327637,25.49991226196289,-0.4999130964279175,34.98674011230469,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9748400449752808,1.144115686416626,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
