[INFO] [1783986889.383350977] [laser_mapping]: p_pre->lidar_type 5
Multi thread started 
~~~~/home/hyper/program/2026_Gsing-second_ROS/fastlio2_v2/src/unilidar_fastlio_ros2-ros2/ file opened
[INFO] [1783986889.387308308] [laser_mapping]: Node init finished.
[INFO] [1783986889.446553173] [pointcloud_x_filter]: 点云过滤器已启动，仅保留 x > 0.0, 半径 > 0.0 的点
[INFO] [1783986890.387057647] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986891.387048884] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986892.387045042] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986893.387067130] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986894.387059368] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986895.387057244] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986896.387078842] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986897.387057820] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986898.387052193] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986899.387049695] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986900.387032767] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986901.387063887] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986902.387217867] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986903.387133365] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986904.387067430] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986905.387052891] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986906.387053518] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986907.387056599] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986908.387205782] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986909.387061329] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986910.387061637] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986911.387042810] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986912.387044465] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986913.387172589] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986914.387081893] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986915.387036373] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986916.387050364] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986917.387047945] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986918.387063854] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986919.387069518] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986920.387060793] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986921.387152150] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986922.387062626] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986923.387071707] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986924.387053806] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986925.387057127] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986926.387065422] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986927.387063334] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986928.387047855] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986929.387057485] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986930.387069779] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986931.387137343] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986932.387073025] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986933.387060823] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986934.387195325] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986935.387052295] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986936.387142704] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986937.387134823] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986938.387174364] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986939.387047339] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986940.387152771] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986941.387056577] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986942.387036785] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986943.387053764] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986944.387038104] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986945.387048676] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986946.387051166] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986947.387051079] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986948.387045431] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986949.387057351] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986950.387043789] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986951.387059557] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986952.387053074] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986953.387040098] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986954.387055233] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986955.387047680] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986956.387068855] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986957.387185089] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986958.387046036] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986959.387067119] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986960.387053995] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986961.387052920] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986962.387055976] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986963.386995534] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986964.387056460] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986965.387039325] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986966.387148877] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986967.387122255] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986968.387163054] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986969.387055762] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986970.387038443] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986971.387031589] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986972.387042911] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986973.387041021] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986974.387063922] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986975.387160420] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986976.387185381] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986977.387202084] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986978.387038936] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986979.387041500] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986980.387028145] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986981.387050584] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986982.387066190] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986983.387037575] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986984.387049315] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986985.387050905] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986986.387165333] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986987.387048857] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986988.387049831] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986989.387055625] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986990.387130089] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986991.387050449] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986992.387133261] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986993.387032140] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986994.387035166] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986995.387031535] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986996.387137420] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986997.387039194] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986998.387028965] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783986999.387122370] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987000.387053472] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987001.387047451] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987002.387166289] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987003.387043313] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987004.387054856] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987005.387147618] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987006.387043134] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987007.387049784] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987008.387047209] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987009.387063282] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987010.387048307] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987011.387040711] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987012.387053894] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987013.387041108] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987014.387039377] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987015.387038359] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987016.387049260] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987017.387051633] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987018.387052226] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987019.387120161] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987020.387061608] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987021.387053749] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987022.387024427] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987023.387047011] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987024.387169343] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987025.387036645] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987026.387042734] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987027.387043886] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987028.387055438] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987029.387056203] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987030.387055773] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987031.387164969] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987032.387056412] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987033.387052054] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987034.387053787] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987035.387131757] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987036.387049961] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987037.387030347] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987038.387029381] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987039.387048734] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987040.387042422] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987041.387002755] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987042.387116985] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987043.387045663] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987044.387107495] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987045.387163107] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987046.387129114] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987047.387041697] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987048.387051699] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987049.387054135] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987050.387053253] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987051.387045890] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987052.387147120] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987053.387049254] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987054.387168878] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987055.387036691] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987056.387055503] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987057.387054150] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987058.387032117] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987059.387038893] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987060.387030205] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987061.387030514] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987062.387139299] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987063.387029403] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987064.387037683] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987065.387031096] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987066.387039176] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987067.387037656] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987068.387030194] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987069.387048397] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987070.387029989] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987071.387030051] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987072.387029577] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987073.387030725] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987074.387030832] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987075.387030073] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987076.387029921] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987077.387110558] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987078.387094302] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987079.387041648] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987080.387125655] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987081.387102736] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987082.387115079] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987083.387042399] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987084.387117283] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987085.387048717] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987086.387044895] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987087.387185976] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987088.387153720] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987089.387048612] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987090.387146973] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987091.387045710] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987092.387046204] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987093.387070109] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987094.387177355] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987095.387066084] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987096.387202871] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987097.387059047] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987098.387161559] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987099.387068092] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987100.387046816] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987101.387166993] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987102.387053481] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987103.387247446] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987104.387036649] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987105.387158675] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987106.387044811] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987107.387034940] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987108.387043383] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987109.387041228] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987110.387048904] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987111.387049539] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987112.387049707] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987113.387058810] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987114.387151936] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987115.387052897] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987116.387175349] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987117.387041497] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987118.387046742] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987119.387044770] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987120.387068566] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987121.387039374] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987122.387058343] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987123.387047270] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987124.387042897] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987125.387043908] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987126.387040561] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987127.387032644] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987128.387049260] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987129.387054628] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987130.387062400] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987131.387032309] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987132.387062028] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987133.387068020] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987134.387119223] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987135.387040693] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987136.387053376] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987137.387065585] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987138.387040013] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987139.387034053] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987140.387034157] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987141.387046024] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987142.387039540] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987143.387036003] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987144.387047484] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987145.387057172] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987146.387030335] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987147.387054495] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987148.387052791] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987149.387048097] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987150.387222366] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987151.387048382] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987152.387049914] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987153.387057155] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987154.387046207] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987155.387047152] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987156.387164825] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987157.387148795] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987158.387069937] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987159.387112172] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987160.387031917] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987161.387064954] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987162.387131237] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987163.387029881] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987164.387151689] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987165.387030587] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987166.387167632] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987167.387148055] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987168.387045064] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987169.387052550] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987170.387193104] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987171.387061158] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987172.387057988] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987173.387048470] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987174.387044574] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987175.387066949] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987176.387165990] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987177.387049016] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987178.387146329] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987179.387041290] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987180.387049726] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987181.387039373] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987182.387049701] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987183.387044594] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987184.387044282] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987185.387068098] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987186.387045811] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987187.387116705] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987188.387027338] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987189.387040624] [laser_mapping]: publish_map: frame pts=0, total=0
[INFO] [1783987190.387046956] [laser_mapping]: publish_map: frame pts=0, total=0
